epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21191.9,0.48473,0.54734,1.0844,0.87399,0.84994,0.90967,0.87009,0.28099,0.55991,0.9108,0.000742625,0.000742625,0.000742625
43,21687.8,0.48439,0.54251,1.083,0.8835,0.86018,0.92056,0.87567,0.29265,0.48379,0.92114,0.00073025,0.00073025,0.00073025
44,22182.4,0.48258,0.54149,1.08094,0.8996,0.8671,0.93031,0.88542,0.28685,0.47151,0.91548,0.000717875,0.000717875,0.000717875
45,22677.3,0.48073,0.53879,1.08518,0.87861,0.84967,0.917,0.87286,0.29428,0.50496,0.92711,0.0007055,0.0007055,0.0007055
46,23171.1,0.47276,0.53531,1.08182,0.87982,0.86329,0.92197,0.88122,0.29427,0.5007,0.92812,0.000693125,0.000693125,0.000693125
47,23665.2,0.47957,0.53616,1.08552,0.8572,0.88551,0.92106,0.87716,0.29329,0.50112,0.92428,0.00068075,0.00068075,0.00068075
48,24159.6,0.47736,0.52879,1.08218,0.8556,0.87571,0.91449,0.86449,0.30266,0.52031,0.93465,0.000668375,0.000668375,0.000668375
49,24653.7,0.47859,0.53492,1.08836,0.85463,0.87152,0.90456,0.87022,0.28029,0.53095,0.91205,0.000656,0.000656,0.000656
50,25147.9,0.46237,0.51077,1.07648,0.89162,0.86184,0.91763,0.87898,0.28059,0.48108,0.91452,0.000643625,0.000643625,0.000643625
51,25642.8,0.4739,0.51471,1.08364,0.89633,0.89034,0.9241,0.88301,0.28247,0.46982,0.91795,0.00063125,0.00063125,0.00063125
52,26138.5,0.47601,0.5057,1.08825,0.9125,0.82903,0.92019,0.88158,0.27724,0.49558,0.91266,0.000618875,0.000618875,0.000618875
53,26634.7,0.46301,0.49221,1.07717,0.88306,0.86925,0.91318,0.87965,0.26956,0.50732,0.90517,0.0006065,0.0006065,0.0006065
54,27138.7,0.4614,0.50209,1.07346,0.86595,0.84971,0.90771,0.87058,0.28202,0.53945,0.91873,0.000594125,0.000594125,0.000594125
55,27638.3,0.46025,0.491,1.07187,0.88184,0.8601,0.9091,0.87342,0.27592,0.53692,0.91286,0.00058175,0.00058175,0.00058175
56,28134.1,0.46197,0.50059,1.06728,0.90266,0.86313,0.92338,0.88148,0.28104,0.46228,0.92227,0.000569375,0.000569375,0.000569375
57,28630.8,0.47073,0.49884,1.08385,0.88604,0.86452,0.92181,0.88483,0.27449,0.49188,0.90655,0.000557,0.000557,0.000557
58,29128,0.45744,0.48726,1.07199,0.89689,0.8721,0.91784,0.8846,0.28038,0.47915,0.9191,0.000544625,0.000544625,0.000544625
